players_PK,PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON
161061275416283882019,TJ Leaf,1610612754,1628388,2019
16106127632035242019,Solomon Hill,1610612763,203524,2019
16106127632031092019,Jae Crowder,1610612763,203109,2019
161061276316289912019,Jaren Jackson Jr.,1610612763,1628991,2019
161061276316284152019,Dillon Brooks,1610612763,1628415,2019
161061276316261452019,Tyus Jones,1610612763,1626145,2019
161061276316290012019,De'Anthony Melton,1610612763,1629001,2019
161061276316289602019,Grayson Allen,1610612763,1628960,2019
16106127632039982019,Bruno Caboclo,1610612763,203998,2019
161061276316297412019,Marko Guduric,1610612763,1629741,2019
16106127632039372019,Kyle Anderson,1610612763,203937,2019
161061276316296342019,Brandon Clarke,1610612763,1629634,2019
16106127632026852019,Jonas Valanciunas,1610612763,202685,2019
161061276316291392019,Yuta Watanabe,1610612763,1629139,2019
161061274416296722019,Eric Paschall,1610612744,1629672,2019
161061274416261722019,Kevon Looney,1610612744,1626172,2019
161061274416261612019,Willie Cauley-Stein,1610612744,1626161,2019
16106127442039222019,Glenn Robinson III,1610612744,203922,2019
16106127442026922019,Alec Burks,1610612744,202692,2019
161061274416290652019,Ky Bowman,1610612744,1629065,2019
161061274416277372019,Marquese Chriss,1610612744,1627737,2019
161061274416296732019,Jordan Poole,1610612744,1629673,2019
161061274416290162019,Omari Spellman,1610612744,1629016,2019
161061274416289802019,Jacob Evans,1610612744,1628980,2019
16106127442031102019,Draymond Green,1610612744,203110,2019
161061273716296312019,De'Andre Hunter,1610612737,1629631,2019
16106127372039532019,Jabari Parker,1610612737,203953,2019
161061273716277452019,Damian Jones,1610612737,1627745,2019
161061273716277612019,DeAndre' Bembry,1610612737,1627761,2019
161061273716290272019,Trae Young,1610612737,1629027,2019
161061273717132019,Vince Carter,1610612737,1713,2019
16106127372034582019,Alex Len,1610612737,203458,2019
161061273716296292019,Cam Reddish,1610612737,1629629,2019
16106127372023232019,Evan Turner,1610612737,202323,2019
161061273716278202019,Tyrone Wallace,1610612737,1627820,2019
161061273716289812019,Bruno Fernando,1610612737,1628981,2019
161061273716291642019,Brandon Goodwin,1610612737,1629164,2019
16106127372027182019,Chandler Parsons,1610612737,202718,2019
16106127482027102019,Jimmy Butler,1610612748,202710,2019
161061274816283892019,Bam Adebayo,1610612748,1628389,2019
16106127482030862019,Meyers Leonard,1610612748,203086,2019
161061274816291302019,Duncan Robinson,1610612748,1629130,2019
161061274816291342019,Kendrick Nunn,1610612748,1629134,2019
16106127482016092019,Goran Dragic,1610612748,201609,2019
161061274816261592019,Justise Winslow,1610612748,1626159,2019
161061274816297352019,Chris Silva,1610612748,1629735,2019
161061274816296392019,Tyler Herro,1610612748,1629639,2019
16106127482034822019,Kelly Olynyk,1610612748,203482,2019
161061274816278842019,Derrick Jones Jr.,1610612748,1627884,2019
161061274826172019,Udonis Haslem,1610612748,2617,2019
16106127482019492019,James Johnson,1610612748,201949,2019
16106127512039252019,Joe Harris,1610612751,203925,2019
161061275116277522019,Taurean Prince,1610612751,1627752,2019
161061275116283862019,Jarrett Allen,1610612751,1628386,2019
16106127512020662019,Garrett Temple,1610612751,202066,2019
16106127512039152019,Spencer Dinwiddie,1610612751,203915,2019
161061275116290582019,Dzanan Musa,1610612751,1629058,2019
16106127512015992019,DeAndre Jordan,1610612751,201599,2019
16106127512026972019,Iman Shumpert,1610612751,202697,2019
161061275116280212019,David Nwaba,1610612751,1628021,2019
161061275116290332019,Theo Pinson,1610612751,1629033,2019
161061275116296512019,Nicolas Claxton,1610612751,1629651,2019
161061275016262032019,Treveon Graham,1610612750,1626203,2019
16106127502034962019,Robert Covington,1610612750,203496,2019
161061275016261572019,Karl-Anthony Towns,1610612750,1626157,2019
161061275016296332019,Jarrett Culver,1610612750,1629633,2019
16106127502039522019,Andrew Wiggins,1610612750,203952,2019
16106127502019522019,Jeff Teague,1610612750,201952,2019
161061275016290062019,Josh Okogie,1610612750,1629006,2019
16106127502038942019,Shabazz Napier,1610612750,203894,2019
161061275016289662019,Keita Bates-Diop,1610612750,1628966,2019
16106127502034762019,Gorgui Dieng,1610612750,203476,2019
161061275016283952019,Jordan Bell,1610612750,1628395,2019
161061275016296752019,Naz Reid,1610612750,1629675,2019
16106127502039432019,Noah Vonleh,1610612750,203943,2019
161061274216278272019,Dorian Finney-Smith,1610612742,1627827,2019
16106127422040012019,Kristaps Porzingis,1610612742,204001,2019
16106127422039392019,Dwight Powell,1610612742,203939,2019
16106127422035012019,Tim Hardaway Jr.,1610612742,203501,2019
161061274216290292019,Luka Doncic,1610612742,1629029,2019
161061274216261532019,Delon Wright,1610612742,1626153,2019
16106127422035522019,Seth Curry,1610612742,203552,2019
161061274216284672019,Maxi Kleber,1610612742,1628467,2019
161061274216289732019,Jalen Brunson,1610612742,1628973,2019
161061274216283822019,Justin Jackson,1610612742,1628382,2019
161061274216262462019,Boban Marjanovic,1610612742,1626246,2019
16106127422008262019,J.J. Barea,1610612742,200826,2019
